District,gnn_embed_0,gnn_embed_1,gnn_embed_2,gnn_embed_3,gnn_embed_4,gnn_embed_5,gnn_embed_6,gnn_embed_7,gnn_embed_8,gnn_embed_9,gnn_embed_10,gnn_embed_11,gnn_embed_12,gnn_embed_13,gnn_embed_14,gnn_embed_15,gnn_embed_16,gnn_embed_17,gnn_embed_18,gnn_embed_19,gnn_embed_20,gnn_embed_21,gnn_embed_22,gnn_embed_23,gnn_embed_24,gnn_embed_25,gnn_embed_26,gnn_embed_27,gnn_embed_28,gnn_embed_29,gnn_embed_30,gnn_embed_31,gnn_embed_32,gnn_embed_33,gnn_embed_34,gnn_embed_35,gnn_embed_36,gnn_embed_37,gnn_embed_38,gnn_embed_39,gnn_embed_40,gnn_embed_41,gnn_embed_42,gnn_embed_43,gnn_embed_44,gnn_embed_45,gnn_embed_46,gnn_embed_47,gnn_embed_48,gnn_embed_49,gnn_embed_50,gnn_embed_51,gnn_embed_52,gnn_embed_53,gnn_embed_54,gnn_embed_55,gnn_embed_56,gnn_embed_57,gnn_embed_58,gnn_embed_59,gnn_embed_60,gnn_embed_61,gnn_embed_62,gnn_embed_63
Visakhapatnam,0.0,0.0,0.0,0.0,96.402695,353.1667,455.54584,0.0,0.0,505.25775,223.09059,72.40613,0.0,728.9092,13.8246765,0.0,0.0,0.0,256.33447,653.05176,0.0,0.0,0.0,0.0,331.7126,0.0,0.0,233.50002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.02605,0.0,86.68603,0.0,39.251984,0.0,0.0,152.1939,162.35872,97.41374,0.0,307.34222,204.759,337.01608,0.0,0.0,0.0,0.0,0.0,0.0,133.99513,0.0,0.0,361.61316,163.28362,0.0,0.0,0.0
Vizianagaram,0.0,0.0,0.0,0.0,134.10046,41.882416,299.73993,0.0,0.0,434.52496,183.98994,0.0,0.0,467.88895,199.62102,0.0,0.0,0.0,16.66809,342.8491,0.0,0.0,0.0,0.0,74.755066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.4426,0.0,78.70718,0.0,0.0,0.0,0.0,79.76053,53.58712,142.44232,0.0,373.39365,57.132996,8.128967,0.0,0.0,147.84529,0.0,0.0,0.0,0.0,0.0,0.0,348.16248,0.0,0.0,0.0,0.0
Westgodavari,0.0,0.0,0.0,0.0,92.96073,152.49982,304.68307,0.0,0.0,379.05347,159.69382,22.144718,0.0,477.4432,97.84923,0.0,0.0,0.0,98.2348,389.30264,0.0,0.0,0.0,0.0,160.64906,0.0,0.0,81.60187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.72635,0.0,61.550964,0.0,0.0,0.0,0.0,90.58862,69.083694,104.84,0.0,284.65152,99.97211,121.27344,0.0,0.0,31.327087,0.0,0.0,0.0,42.498276,0.0,0.0,288.2627,46.753815,0.0,0.0,0.0
Y.S.R.,0.0,0.0,0.0,0.0,103.84882,148.97499,321.15356,0.0,0.0,407.9029,173.66927,21.383316,0.0,505.12982,112.0273,0.0,0.0,0.0,96.86299,409.1632,0.0,0.0,0.0,0.0,159.46416,0.0,0.0,78.51544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.80164,0.0,69.244995,0.0,0.0,0.0,0.0,94.61654,77.721344,113.09271,0.0,308.00305,101.924644,118.63867,0.0,0.0,44.68982,0.0,0.0,0.0,42.77468,0.0,0.0,311.83414,44.32585,0.0,0.0,0.0
Anjaw,0.0,0.0,0.0,0.0,143.24013,258.14673,475.90002,0.0,0.0,590.70355,263.98975,46.841164,0.0,759.8758,119.257996,0.0,0.0,0.0,190.23383,643.4309,0.0,0.0,0.0,0.0,260.10925,0.0,0.0,164.1232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.22086,0.0,108.37067,0.0,0.0,0.0,0.0,151.62108,160.20534,137.19376,0.0,412.16278,171.6788,244.2138,0.0,0.0,13.606903,0.0,0.0,0.0,94.38463,0.0,0.0,442.5303,105.50217,0.0,0.0,0.0
Changlang,0.0,0.0,0.0,0.0,152.41998,5.967102,306.2519,0.0,0.0,465.59567,198.05708,0.0,0.0,475.5998,235.88728,0.0,0.0,0.0,0.0,338.60593,0.0,0.0,0.0,0.0,46.2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.55396,0.0,87.932365,0.0,0.0,0.0,0.0,76.30365,55.499428,157.54597,0.0,407.73642,44.265045,0.0,0.0,0.0,191.7574,0.0,0.0,0.0,0.0,0.0,0.0,375.54263,0.0,0.0,0.0,0.0
Dibangvalley,0.0,0.0,0.0,0.0,126.21309,243.68765,433.6874,0.0,0.0,532.0541,235.38583,44.12181,0.0,690.8983,103.47571,0.0,0.0,0.0,175.74529,584.4183,0.0,0.0,0.0,0.0,244.69792,0.0,0.0,152.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.26099,0.0,94.797516,0.0,0.0,0.0,0.0,138.34598,137.62543,125.45372,0.0,372.1266,158.89493,224.99731,0.0,0.0,5.1742554,0.0,0.0,0.0,85.62744,0.0,0.0,398.0059,97.53215,0.0,0.0,0.0
Eastkameng,0.0,0.0,0.0,0.0,142.24823,228.18304,449.91916,0.0,0.0,567.15356,249.87451,40.282295,0.0,715.98535,129.68811,0.0,0.0,0.0,163.60172,599.39557,0.0,0.0,0.0,0.0,234.20639,0.0,0.0,138.39084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.55444,0.0,104.472725,0.0,0.0,0.0,0.0,139.9184,143.06755,139.55606,0.0,406.50067,155.36563,209.29395,0.0,0.0,33.28189,0.0,0.0,0.0,80.720505,0.0,0.0,427.66724,86.81726,0.0,0.0,0.0
Eastsiang,0.0,0.0,0.0,0.0,135.6872,117.15958,358.04926,0.0,0.0,484.95795,208.81784,12.630211,0.0,562.97327,168.49681,0.0,0.0,0.0,76.18404,442.57944,0.0,0.0,0.0,0.0,138.44739,0.0,0.0,54.667847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.5851,0.0,87.4145,0.0,0.0,0.0,0.0,102.19531,87.79071,140.36029,0.0,381.6901,96.09652,89.79123,0.0,0.0,100.8804,0.0,0.0,0.0,30.49849,0.0,0.0,375.83893,22.545013,0.0,0.0,0.0
Kurungkumey,0.0,0.0,0.0,0.0,132.39325,189.20972,402.99554,0.0,0.0,514.971,224.17627,31.03872,0.0,638.3292,132.69464,0.0,0.0,0.0,131.7674,526.37384,0.0,0.0,0.0,0.0,199.21733,0.0,0.0,108.69818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.29404,0.0,93.37296,0.0,0.0,0.0,0.0,122.1521,117.54895,133.86253,0.0,379.51834,132.02231,166.22467,0.0,0.0,48.54181,0.0,0.0,0.0,62.48349,0.0,0.0,391.0084,64.89981,0.0,0.0,0.0
Lohit,0.0,0.0,0.0,0.0,121.79013,283.48328,455.36395,0.0,0.0,545.035,243.07622,52.981613,0.0,729.22034,83.51044,0.0,0.0,0.0,206.81992,626.9907,0.0,0.0,0.0,0.0,277.6507,0.0,0.0,183.04448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.15968,0.0,95.436386,0.0,0.96640015,0.0,0.0,151.15384,151.23819,119.260925,0.0,368.41156,178.77045,267.16696,0.0,0.0,0.0,0.0,0.0,0.0,101.532,0.0,0.0,402.71613,120.43359,0.0,0.0,0.0
Longding,0.0,0.0,0.0,0.0,143.67912,249.35889,463.38586,0.0,0.0,578.0841,254.01064,48.874832,0.0,738.56555,115.08084,0.0,0.0,0.0,181.42203,627.3574,0.0,0.0,0.0,0.0,251.70113,0.0,0.0,154.58606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.79126,0.0,110.082664,0.0,0.0,0.0,0.0,143.56923,157.26154,138.39224,0.0,405.2571,167.10593,235.47311,0.0,0.0,17.733643,0.0,0.0,0.0,93.522675,0.0,0.0,432.39398,101.04399,0.0,0.0,0.0
Lowerdibangvalley,0.0,0.0,0.0,0.0,134.49602,169.25113,395.08566,0.0,0.0,513.3506,224.69153,25.274986,0.0,625.6778,146.58968,0.0,0.0,0.0,117.816605,507.89148,0.0,0.0,0.0,0.0,182.96898,0.0,0.0,95.041534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.66684,0.0,92.14626,0.0,0.0,0.0,0.0,119.63776,110.20921,136.29694,0.0,385.43866,123.06141,145.68076,0.0,0.0,64.38776,0.0,0.0,0.0,52.849747,0.0,0.0,392.78625,53.11418,0.0,0.0,0.0
Lowersubansiri,0.0,0.0,0.0,0.0,129.88182,136.54419,360.31677,0.0,0.0,477.0098,205.09042,18.017746,0.0,567.0912,151.91556,0.0,0.0,0.0,90.03352,452.87085,0.0,0.0,0.0,0.0,153.93813,0.0,0.0,68.89421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.82745,0.0,85.729645,0.0,0.0,0.0,0.0,104.358665,91.56976,134.85558,0.0,368.59885,103.919624,109.26578,0.0,0.0,81.44891,0.0,0.0,0.0,39.01802,0.0,0.0,367.99005,34.44998,0.0,0.0,0.0
Namsai,0.0,0.0,0.0,0.0,122.147415,59.937958,289.13907,0.0,0.0,409.53537,171.25763,0.0,0.0,448.96716,171.2446,0.0,0.0,0.0,29.05484,336.2783,0.0,0.0,0.0,0.0,86.18379,0.0,0.0,11.271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.20282,0.0,72.759514,0.0,0.0,0.0,0.0,74.557495,53.583374,132.36328,0.0,340.03418,61.445633,27.515259,0.0,0.0,124.405365,0.0,0.0,0.0,6.5199356,0.0,0.0,322.1186,0.0,0.0,0.0,0.0
Papumpare,0.0,0.0,0.0,0.0,141.13431,110.03021,362.1289,0.0,0.0,495.29926,213.3306,10.809441,0.0,569.77466,179.08409,0.0,0.0,0.0,70.51196,445.56082,0.0,0.0,0.0,0.0,133.50865,0.0,0.0,48.78044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.02826,0.0,90.60791,0.0,0.0,0.0,0.0,103.01465,89.09332,144.89935,0.0,393.86182,93.89593,82.3967,0.0,0.0,111.22528,0.0,0.0,0.0,27.707443,0.0,0.0,385.96375,18.051437,0.0,0.0,0.0
Tawang,0.0,0.0,0.0,0.0,144.75775,260.17743,477.2091,0.0,0.0,593.6803,262.83994,48.44558,0.0,762.0501,117.754944,0.0,0.0,0.0,189.38074,646.23694,0.0,0.0,0.0,0.0,261.85132,0.0,0.0,162.29056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.6372,0.0,110.32435,0.0,0.0,0.0,0.0,150.11353,160.28261,140.03186,0.0,414.53665,172.9201,244.3432,0.0,0.0,14.043518,0.0,0.0,0.0,95.70961,0.0,0.0,443.52457,105.07913,0.0,0.0,0.0
Tirap,0.0,0.0,0.0,0.0,92.08472,373.84216,458.9635,0.0,0.0,499.89923,219.64136,80.85045,0.0,734.90515,0.0,0.0,0.0,0.0,272.12152,667.5848,0.0,0.0,0.0,0.0,347.2141,0.0,0.0,249.18388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.32967,0.0,88.253395,0.0,50.606674,0.0,0.0,153.59006,171.56555,92.16742,0.0,293.56012,214.04604,361.2378,0.0,0.0,0.0,0.0,0.0,0.0,146.33578,0.0,0.0,353.99896,177.83557,0.0,0.0,0.0
Uppersiang,0.0,0.0,0.0,0.0,138.98862,129.64908,372.97272,0.0,0.0,502.01987,217.32265,15.573479,0.0,588.0405,167.56342,0.0,0.0,0.0,86.628204,466.43765,0.0,0.0,0.0,0.0,149.6433,0.0,0.0,64.4153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.89392,0.0,91.10559,0.0,0.0,0.0,0.0,108.21601,96.36981,141.89886,0.0,390.73383,103.809616,104.09973,0.0,0.0,95.63373,0.0,0.0,0.0,36.199738,0.0,0.0,387.49023,29.594574,0.0,0.0,0.0
Uppersubansiri,0.0,0.0,0.0,0.0,129.06427,150.36322,368.42746,0.0,0.0,482.34595,207.66937,21.823944,0.0,580.794,144.33922,0.0,0.0,0.0,100.8362,468.5847,0.0,0.0,0.0,0.0,165.35262,0.0,0.0,79.29904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.6072,0.0,86.905785,0.0,0.0,0.0,0.0,108.040504,97.46026,133.35892,0.0,367.62964,110.875275,124.33197,0.0,0.0,71.10434,0.0,0.0,0.0,45.33618,0.0,0.0,370.10016,42.70659,0.0,0.0,0.0
Westkameng,0.0,0.0,0.0,0.0,169.50108,150.40027,443.86545,0.0,0.0,602.43286,265.43768,20.624992,0.0,704.9758,199.43094,0.0,0.0,0.0,106.298584,563.4258,0.0,0.0,0.0,0.0,173.29861,0.0,0.0,79.288605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.10132,0.0,115.05854,0.0,0.0,0.0,0.0,131.49025,130.91885,164.6044,0.0,464.7871,124.69133,129.84988,0.0,0.0,114.02872,0.0,0.0,0.0,47.947983,0.0,0.0,466.4216,39.547745,0.0,0.0,0.0
Westsiang,0.0,0.0,0.0,0.0,132.78938,150.09854,375.98486,0.0,0.0,494.09192,213.36899,21.574303,0.0,592.9052,150.31265,0.0,0.0,0.0,101.32919,477.283,0.0,0.0,0.0,0.0,166.21194,0.0,0.0,78.98697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.16165,0.0,89.17499,0.0,0.0,0.0,0.0,110.546486,99.49176,136.59906,0.0,377.9421,112.10828,124.39639,0.0,0.0,75.43793,0.0,0.0,0.0,44.665695,0.0,0.0,379.69296,41.83928,0.0,0.0,0.0
Baksa,0.0,0.0,0.0,0.0,157.2635,0.0,307.03876,0.0,0.0,478.2677,205.56305,0.0,0.0,480.13684,261.13593,0.0,0.0,0.0,0.0,330.4589,0.0,0.0,0.0,0.0,33.776703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.63217,0.0,87.058136,0.0,0.0,0.0,0.0,80.91874,44.803032,163.67172,0.0,432.56506,37.615326,0.0,0.0,0.0,209.54507,0.0,0.0,0.0,0.0,0.0,0.0,389.5188,0.0,0.0,0.0,0.0
Barpeta,0.0,0.0,0.0,0.0,135.38074,270.9641,465.3979,0.0,0.0,567.99146,252.06447,53.05687,0.0,743.64154,96.17682,0.0,0.0,0.0,198.38329,636.2472,0.0,0.0,0.0,0.0,268.55728,0.0,0.0,173.11612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.88437,0.0,106.074486,0.0,0.0,0.0,0.0,146.80576,160.94516,130.06473,0.0,385.72137,175.55357,256.98956,0.0,0.0,0.0,0.0,0.0,0.0,103.90825,0.0,0.0,424.11713,115.01639,0.0,0.0,0.0
Bongaigaon,0.0,0.0,0.0,0.0,120.07427,312.4731,467.41907,0.0,0.0,547.0955,241.24146,62.650635,0.0,745.78217,58.966644,0.0,0.0,0.0,227.291,653.3201,0.0,0.0,0.0,0.0,301.3827,0.0,0.0,202.44734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.31905,0.0,99.00586,0.0,14.111145,0.0,0.0,150.04245,164.12044,117.47765,0.0,355.38925,191.06882,297.3133,0.0,0.0,0.0,0.0,0.0,0.0,119.01241,0.0,0.0,399.91675,138.41383,0.0,0.0,0.0
Cachar,0.0,0.0,0.0,0.0,92.54349,114.634094,276.43445,0.0,0.0,356.83044,148.08711,13.247028,0.0,430.70166,112.41937,0.0,0.0,0.0,68.42377,340.06174,0.0,0.0,0.0,0.0,128.3199,0.0,0.0,51.381393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.83478,0.0,57.50134,0.0,0.0,0.0,0.0,77.88961,52.179146,107.09126,0.0,281.22128,80.5975,80.140396,0.0,0.0,56.20311,0.0,0.0,0.0,25.295677,0.0,0.0,274.34286,24.280792,0.0,0.0,0.0
Chirang,0.0,0.0,0.0,0.0,138.1025,32.845093,300.66977,0.0,0.0,442.8177,186.3197,0.0,0.0,468.26196,209.43652,0.0,0.0,0.0,9.480118,340.39975,0.0,0.0,0.0,0.0,67.916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.1467,0.0,79.27146,0.0,0.0,0.0,0.0,78.676735,50.075108,146.80563,0.0,383.6502,53.62935,0.0,0.0,0.0,159.0062,0.0,0.0,0.0,0.0,0.0,0.0,353.11905,0.0,0.0,0.0,0.0
Darrang,0.0,0.0,0.0,0.0,139.26816,26.371002,302.52222,0.0,0.0,447.03513,191.82591,0.0,0.0,472.42743,219.81747,0.0,0.0,0.0,5.7238617,338.32697,0.0,0.0,0.0,0.0,63.176285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.30417,0.0,78.429214,0.0,0.0,0.0,0.0,82.33153,48.36163,147.34259,0.0,390.93304,51.39865,0.0,0.0,0.0,165.45303,0.0,0.0,0.0,0.0,0.0,0.0,360.3225,0.0,0.0,0.0,0.0
Dhemaji,0.0,0.0,0.0,0.0,94.691025,349.28253,450.50195,0.0,0.0,500.14758,219.3966,70.66443,0.0,719.96594,15.433655,0.0,0.0,0.0,252.76706,644.55756,0.0,0.0,0.0,0.0,328.50424,0.0,0.0,230.16129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.4263,0.0,83.98914,0.0,37.874207,0.0,0.0,151.50484,155.8892,97.01171,0.0,307.25705,202.31544,332.49518,0.0,0.0,0.0,0.0,0.0,0.0,129.33838,0.0,0.0,356.14178,159.25847,0.0,0.0,0.0
Dhubri,0.0,0.0,0.0,0.0,145.45828,261.51266,476.753,0.0,0.0,590.8461,261.85107,50.497025,0.0,760.97205,114.94278,0.0,0.0,0.0,190.79117,647.3054,0.0,0.0,0.0,0.0,262.44745,0.0,0.0,164.27927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.31906,0.0,111.596825,0.0,0.0,0.0,0.0,149.99243,163.44888,138.72174,0.0,410.94308,173.97614,246.88858,0.0,0.0,12.483337,0.0,0.0,0.0,98.654465,0.0,0.0,442.9129,108.05588,0.0,0.0,0.0
Dibrugarh,0.0,0.0,0.0,0.0,151.44218,2.6446838,299.36447,0.0,0.0,457.87994,191.91743,0.0,0.0,462.90326,232.6254,0.0,0.0,0.0,0.0,329.0811,0.0,0.0,0.0,0.0,42.729034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.68918,0.0,87.01915,0.0,0.0,0.0,0.0,71.43223,51.864876,157.83504,0.0,402.05978,41.709915,0.0,0.0,0.0,193.57428,0.0,0.0,0.0,0.0,0.0,0.0,368.6027,0.0,0.0,0.0,0.0
Dimahasao,0.0,0.0,0.0,0.0,118.37523,146.71301,345.8011,0.0,0.0,449.36884,193.51807,21.458794,0.0,545.9512,131.18265,0.0,0.0,0.0,98.255035,440.77032,0.0,0.0,0.0,0.0,159.9929,0.0,0.0,77.8698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.05943,0.0,79.69508,0.0,0.0,0.0,0.0,102.40726,90.11164,123.53551,0.0,341.7882,106.328995,120.582825,0.0,0.0,60.5065,0.0,0.0,0.0,43.39013,0.0,0.0,344.49185,42.68579,0.0,0.0,0.0
